"	PU
ไตรรงค์	NN
"	PU
ทั้ง	CC
นี้	CC
ไม่ว่า	CC
โดย	CC
ทาง	NN
ตรง	VV
หรือ	CC
ทาง	NN
อ้อม	VV
ซึ่ง	CC
ใน	PS
มาตรา	NN
ดังกล่าว	AJ
ไม่	NG
ได้	AX
มี	VV
คำ	NN
ว่า	CC
ไม่	NG
คง	VV
ไว้	AV
ใน	PS
การ	FX
ถือ	VV
หุ้น	NN
จึง	CC
ถือ	VV
ว่า	CC
มี	VV
ความ	FX
แตกต่าง	VV
กัน	AV
เพราะ	CC
สามารถ	AX
ถือ	VV
หุ้น	NN
ได้	AX
โดย	CC
ไม่	NG
ต้อง	AX
ขาย	VV
แต่ห้า	CC
ม	VV
ซื้อ	VV
หุ้น	NN
เพิ่ม	VV
เท่านั้น	AV
ซึ่ง	CC
กกต.	NN
ก็	CC
มี	VV
ความ	NN
เห็น	NN
ต่าง	VV
จาก	PS
คน	CL
อื่น	AJ
ใน	PS
กรณี	NN
นี้	AJ

จาก	PS
นี้	PR
ไป	VV
คง	AX
ต้อง	AX
รอ	VV
ให้	CC
ศาล	NN
รัฐธรรมนูญ	NN
เป็น	VV
ผู้	FX
ชี้	VV
ขาด	VV
ว่า	CC
จะ	AX
มี	VV
คำ	NN
วินิจฉัย	VV
อย่างไร	AV
เป็น	VV
หุ้น	NN
เสรี	AJ
หุ้น	NN
ผูกขาด	VV
หรือ	AV
ไม่	AV
ผูกขาด	VV
แม้	CC
ว่า	CC
กกต.	NN
จะ	AX
มี	VV
มติ	NN
ออก	AV
มา	VV
อย่างไร	AV
ก็	CC
ไม่	NG
ต้อง	AX
เชื่อ	VV
เพราะ	CC
เป็น	VV
แค่	AJ
คน	NN
ไม่	NG
กี่	NU
คน	CL
ที่	CC
เขา	PR
อาจ	AX
จะ	AX
ไม่	NG
ได้	AX
มี	VV
ความ	NN
รู้	NN
เรื่อง	NN
หุ้น	NN
หรือ	CC
ตี	VV
ความ	VV
กฎหมาย	NN
แตกต่าง	VV
ออก	AV
ไป	VV
เรื่อง	NN
นี้	AJ
จึง	CC
ถือ	VV
เป็น	VV
บทเรียน	NN
ว่า	CC
คน	NN
ร่าง	VV
กฎหมาย	NN
ควร	AX
จะ	AX
เขียน	VV
กฎหมาย	NN
ให้	CC
ชัด	AV
อย่า	VV
ให้	CC
เป็น	VV
ปัญหา	NN
ใน	PS
การ	FX
ตี	VV
ความ	VV
ใน	PS
ภายหลัง	PS

นาย	NN
ไตรรงค์	NN
กล่าว	VV
ด้วย	AV
ว่า	CC
เมื่อ	CC
กกต.	NN
มี	VV
มติ	NN
ออก	AV
มา	VV
เช่น	NN
นี้	AJ
คง	AX
ไม่	NG
มี	VV
ผล	NN
อะไร	PR
ต่อ	PS
การ	FX
ปฏิบัติ	VV
หน้า	NN
ที่	NN
ของ	PS
ส.ส.	NN
จนกว่า	CC
จะ	AX
มี	VV
คำ	NN
วินิจฉัย	VV
ของ	PS
ศาล	NN
รัฐธรรมนูญ	NN
ออก	AV
มา	VV
ก็	CC
เท่านั้น	AV

และ	CC
หาก	CC
มี	VV
คำ	NN
วินิจฉัย	VV
ให้	CC
พ้น	VV
สมาชิกภาพ	NN
ตน	PR
ซึ่ง	CC
เป็น	VV
ส.ส.	NN
สัดส่วน	NN
ก็	CC
ต้อง	AX
พ้น	VV
สภาพ	NN
ขาด	VV
จาก	PS
การ	FX
เป็น	VV
ส.ส.	NN
และ	CC
ส.ส.	NN
สัดส่วน	NN
ที่	CC
มี	VV
คะแนน	NN
รอง	VV
ลง	AV
มา	VV
ก็	CC
ต้อง	AX
เลื่อน	VV
ขึ้น	AV
มา	AV
แทน	VV
ที่	NN

ทั้ง	CC
นี้	CC
ใน	PS
อนาคต	NN
เมื่อ	CC
มี	FX
การ	FX
เลือกตั้ง	VV
ก็	CC
พร้อม	VV
ที่	CC
จะ	AX
ลง	AV
สมัคร	VV
รับ	VV
เลือกตั้ง	VV
ใหม่	VV
